EXAM_YEAR_ID;SEMESTER;EXAM DATE;EXAM_STATUS_ID;CODE;NAME;TEACHERS SCIPERS;CONTACTS SCIPER;SERVICE_LEVEL_ID;RESPONSABLE;NB STUDENTS;NB PAGES;TOTAL PAGES;SERVICE_TYPE_ID;EXAM_TYPE_ID;DEADLINE PREP;DEADLINE REPRO;REMARK;SECTION
6;2;31.05.23;14;ME-201 Final;Continuum mechanics;278363;;2;283365;250;;0;4;1;;;;GM
6;2;31.05.23;14;CS-210 Final;Parallelisme and concurrency Final;177241,331765;250109;2;283365;300;;0;4;1;;;;IC
6;2;31.05.23;15;BIO-204;Integrated labo in Life sciences II;177072,181957;177072;3;275804;160;;0;4;1;;;;SV
6;2;30.06.23;15;MATH-115(a);Algèbre linéaire avancée II;183121;270637;3;283365;120;24;2880;4;1;;;;MA
6;2;30.06.23;14;CS-251;Theory of computation;318509;;2;275804;312;;0;1;1;;;;IC
6;2;30.06.23;14;MATH-251(b);Analyse numérique;106096;258064;2;275804;300;;0;4;1;;;Moodle + compte serveur AMC ok. Elle me contacte si besoin;MA
6;2;30.06.23;14;MATH-212;Analyse numérique et optimisation;106096;247278;3;275804;190;;0;4;1;;;déjà fait un exam en janvier. il me contacte si besoin;MA
6;2;28.06.23;14;ME-311;Dynamique des systèmes mécaniques;103606;;3;275804;110;;0;4;1;;;;GM
6;2;28.06.23;14;PHYS-105;Advanced physics II (thermodynamics);178548;;2;205845;120;;0;3;1;;;;PH
6;2;28.06.23;14;Micro-502;Aerial robotics;111729;371568;3;275804;90;;0;4;1;;;;MT
6;2;28.06.23;14;ME-104;Introduction to structural mechanics;283343;342378;2;275804;300;;0;4;1;;;;GM
6;2;27.06.23;14;PHYS-209;;166196;;3;275804;160;;0;4;1;;;;PH
6;2;27.06.23;14;PHYS-206;Physics IV;318383;;3;205845;124;;0;3;1;;;;PH
6;2;27.04.23;15;CS-206 FINAL;Parallelism and Concurrency Midterm;126003,331765;250300;1;283365;264;16;4224;4;1;18.04.22;21.04.22;;IC
6;2;26.06.23;15;UNIL-123;Physique expérimentale II (pour SFU);105173;;2;283365;214;12;2568;3;1;;;;UNIL
6;2;26.06.23;14;PREPA-093;Chimie MAN;109839;;2;283365;388;;0;4;1;;;;MAN/CMS
6;2;26.06.23;14;PREPA-091;Géométrie Descriptive MAN;157882;;2;283365;320;;0;4;1;;;;MAN/CMS
6;2;26.06.23;14;PREPA-033;Physique MAN;104677,165328;;2;283365;720;;0;4;1;;;;MAN/CMS
6;2;26.06.23;14;PREPA-031(a);Analyse A MAN;183833,101466,121777;;2;283365;718;;0;4;1;;;;MAN/CMS
6;2;26.06.23;14;MATH-123(b);Géométrie;238427;;3;275804;71;;0;4;1;;;Scanner à prevoir;MA
6;2;26.06.23;14;MATH-105(b);Analyse avancée II;166061;;2;283365;210;;0;4;1;;;;MA
6;2;26.06.23;14;MATH-105(b);Analyse avancée II;166061;;2;283365;210;;0;4;1;;;;MA
6;2;26.06.23;8;MATH-105(a);Analyse avancée II;118353;341657;3;275804;120;;0;4;1;;;;MA
6;2;26.06.23;14;ME-202;Systèmes mécaniques;172730;;3;283365;100;;0;4;1;;;;GM
6;2;26.06.23;14;CS-233(b);Introduction to machine learning;112366;237807;2;275804;230;;0;4;1;;;Moodle + compte serveur AMC ok. il me contacte si besoin;IC
6;2;26.04.23;15;MATH-205 MOCK;Analyse IV MOCK;290660;331906;3;283365;90;;0;4;1;;;;MA
6;2;25.05.23;15;CIVIL-226;Introduction to machine learning for engineers;129343;;1;283365;70;12;840;4;1;;25.05.22;;GC
6;2;24.04.23;15;UNIL-131 MOCK;Mathématiques II (pour SFU) - TEST;149640;;2;283365;210;4;840;4;3;;;;UNIL
6;2;24.04.23;15;UNIL-108 MOCK;Mathématiques générales II (pour BIO) - TEST;112131;;2;283365;60;4;240;4;3;;;;UNIL
